1000 200
793 551 2099
794 90 2392
795 1703 2217
796 1949 1241
797 1863 1848
798 1439 73
799 1701 1085
800 216 1158
801 1087 1244
802 1700 438
803 822 773
804 1610 374
805 1936 294
806 258 370
807 1072 575
808 673 1362
809 753 2622
810 190 1762
811 1354 1455
812 1655 1139
813 1563 2568
814 1005 2093
815 1250 263
816 506 220
817 657 2689
818 1461 557
819 1282 1831
820 124 1422
821 791 569
822 143 381
823 743 2214
824 1835 1167
825 280 2495
826 302 1377
827 867 986
828 1553 2308
829 1400 1429
830 43 1557
831 129 2002
832 1690 900
833 1456 137
834 967 2502
835 923 90
836 658 1090
837 1823 65
838 279 2153
839 319 917
840 763 1465
841 841 951
842 936 2064
843 1371 59
844 487 2488
845 1397 123
846 476 529
847 1428 525
848 661 1165
849 18 236
850 325 2980
851 1069 1940
852 1004 1334
853 838 243
854 159 1634
855 99 1157
856 459 1922
857 337 291
858 1350 1394
859 1881 60
860 1182 2188
861 717 2629
862 1505 2657
863 173 1496
864 83 1166
865 497 2190
866 1481 2759
867 93 2917
868 1160 836
869 470 1930
870 438 1318
871 591 2920
872 562 2896
873 641 1928
874 987 911
875 99 2522
876 502 2520
877 528 167
878 14 7
879 524 1052
880 1593 1097
881 855 20
882 936 2073
883 260 2299
884 581 95
885 1765 81
886 2000 2370
887 618 2355
888 1634 914
889 1176 1258
890 131 972
891 1491 2626
892 792 633
893 639 370
894 1421 2158
895 1254 2514
896 533 2013
897 437 1460
898 111 2820
899 1915 1697
900 129 43
901 412 2031
902 737 2129
903 1394 2029
904 287 371
905 1342 2569
906 195 1417
907 1049 2185
908 1906 2338
909 495 39
910 1552 1327
911 691 2100
912 912 2436
913 256 2480
914 528 2022
915 64 2522
916 552 656
917 1136 1827
918 1856 640
919 10 529
920 1098 1494
921 910 2704
922 1240 2292
923 629 2311
924 349 2145
925 823 476
926 1575 2253
927 688 1514
928 1345 486
929 1859 943
930 1464 2872
931 527 2274
932 1101 2367
933 7 663
934 543 2308
935 1801 1368
936 423 1640
937 931 710
938 1020 662
939 807 2912
940 1387 2721
941 325 981
942 1494 2961
943 1799 1012
944 307 1190
945 1061 657
946 283 122
947 841 1940
948 1954 1383
949 1042 2847
950 1566 1496
951 136 1842
952 1903 2989
953 1650 1418
954 1329 2923
955 995 808
956 789 2067
957 380 2319
958 682 1634
959 1824 178
960 186 2988
961 1462 1236
962 1175 1468
963 202 302
964 1500 128
965 1624 1243
966 436 2065
967 1405 2111
968 1528 339
969 1613 55
970 214 2209
971 275 607
972 277 354
973 1988 654
974 1183 958
975 298 2163
976 1398 2721
977 540 1759
978 60 573
979 52 1742
980 336 2911
981 975 27
982 137 772
983 1462 1380
984 1786 2665
985 1225 2074
986 32 351
987 1705 499
988 505 308
989 1617 2692
990 206 39
991 1759 2914
992 24 2603
993 527 1651
994 1744 1435
995 345 1579
996 957 1079
997 1202 672
998 403 1094
999 1110 1015
1000 88 1188
